scientificName,decimalLatitude,decimalLongitude,eventDate,datasetKey
"Branta canadensis (Linnaeus, 1758)",52.674072,-2.447484,2024-05-10T11:53:57,50c9509d-22c7-4a22-a47d-8c48425ef4a7
"Cygnus olor (J.F.Gmelin, 1789)",52.78779,-2.387509,2024-05-17T14:30:16,50c9509d-22c7-4a22-a47d-8c48425ef4a7
"Dendrocopos major (Linnaeus, 1758)",52.64279,-2.499208,2024-06-01T11:51:25,50c9509d-22c7-4a22-a47d-8c48425ef4a7
"Vanellus vanellus (Linnaeus, 1758)",52.787017,-2.457078,2024-06-10T17:11:42,50c9509d-22c7-4a22-a47d-8c48425ef4a7
"Branta canadensis (Linnaeus, 1758)",52.86939,-2.608483,2024-06-18T18:27:55,50c9509d-22c7-4a22-a47d-8c48425ef4a7
"Anas platyrhynchos Linnaeus, 1758",52.869608,-2.608563,2024-06-18T16:30:03,50c9509d-22c7-4a22-a47d-8c48425ef4a7
"Anser anser (Linnaeus, 1758)",52.869813,-2.608741,2024-06-18T13:40:55,50c9509d-22c7-4a22-a47d-8c48425ef4a7
"Cygnus olor (J.F.Gmelin, 1789)",52.86941,-2.608429,2024-06-18T16:29:28,50c9509d-22c7-4a22-a47d-8c48425ef4a7
"Corvus corone Linnaeus, 1758",52.676243,-2.442717,2024-06-17T14:07,50c9509d-22c7-4a22-a47d-8c48425ef4a7
"Branta canadensis (Linnaeus, 1758)",52.671474,-2.447079,2024-06-30T12:28:21,50c9509d-22c7-4a22-a47d-8c48425ef4a7
"Gallinula chloropus (Linnaeus, 1758)",52.671502,-2.447216,2024-06-30T12:28:52,50c9509d-22c7-4a22-a47d-8c48425ef4a7
Anas platyrhynchos f. domesticus,52.671472,-2.447129,2024-06-30T15:07:12,50c9509d-22c7-4a22-a47d-8c48425ef4a7
"Gallinula chloropus (Linnaeus, 1758)",52.663508,-2.447921,2024-06-29T14:25,50c9509d-22c7-4a22-a47d-8c48425ef4a7
"Anser anser (Linnaeus, 1758)",52.663508,-2.447921,2024-06-29T14:25,50c9509d-22c7-4a22-a47d-8c48425ef4a7
"Erithacus rubecula (Linnaeus, 1758)",52.663508,-2.447921,2024-06-29T14:25,50c9509d-22c7-4a22-a47d-8c48425ef4a7
"Turdus merula Linnaeus, 1758",52.663508,-2.447921,2024-06-29T14:25,50c9509d-22c7-4a22-a47d-8c48425ef4a7
"Pica pica (Linnaeus, 1758)",52.663508,-2.447921,2024-06-29T14:25,50c9509d-22c7-4a22-a47d-8c48425ef4a7
"Emberiza schoeniclus (Linnaeus, 1758)",52.778963,-2.327327,2024-06-17T09:40,50c9509d-22c7-4a22-a47d-8c48425ef4a7
"Cuculus canorus Linnaeus, 1758",52.778963,-2.327327,2024-06-17T09:44,50c9509d-22c7-4a22-a47d-8c48425ef4a7
"Emberiza schoeniclus (Linnaeus, 1758)",52.778963,-2.327327,2024-06-17T09:46,50c9509d-22c7-4a22-a47d-8c48425ef4a7
"Dendrocopos major (Linnaeus, 1758)",52.778963,-2.327327,2024-06-17T09:48,50c9509d-22c7-4a22-a47d-8c48425ef4a7
